City	Airport Code	Latitude	Longitude
London	EGLC	51.5053	0.0553
Paris	LFPB	48.9694	2.4414
Beijing	ZBAA	40.0774	116.5967
Dallas	KDAL	32.8459	-96.8509
Taipei	RCSS	25.0697	121.5525
Seoul	RKSI	37.4602	126.4407
Hong Kong	VHHH	22.308	113.9185
Singapore	WSSS	1.3644	103.9915
Milan	LIMC	45.6306	8.7281
Madrid	LEMD	40.4983	-3.5676
Shanghai	ZSPD	31.1434	121.8052
Miami	KMIA	25.7959	-80.287
Ankara	LTAC	40.1281	32.9951
Sao Paulo	SBGR	-23.4356	-46.4731
Chongqing	ZUCK	29.7192	106.6417
Chengdu	ZUUU	30.5785	103.9471
NYC	KLGA	40.7769	-73.874
Warsaw	EPWA	52.1657	20.9671
Jakarta	WIHH	-6.2666	106.8911
Munich	EDDM	48.3538	11.7861
Atlanta	KATL	33.6367	-84.4281
Amsterdam	EHAM	52.3105	4.7683
Moscow	UUWW	55.5915	37.2615
Toronto	CYYZ	43.6777	-79.6248
Istanbul	LTFM	41.2753	28.7519
Kuala Lumpur	WMKK	2.7456	101.7072
Wuhan	ZHHH	30.7838	114.2081
Lagos	DNMM	6.5774	3.3212
Los Angeles	KLAX	33.9416	-118.4085
Guangzhou	ZGGG	23.3924	113.2988
Lucknow	VILK	26.7606	80.8893
Buenos Aires	SAEZ	-34.8222	-58.5358
Busan	RKPK	35.1795	128.9382
Cape Town	FACT	-33.9648	18.6017
Tel Aviv	LLBG	32.0114	34.8867
Manila	RPLL	14.5086	121.0198
Qingdao	ZSQD	36.3619	120.0885
San Francisco	KSFO	37.6213	-122.379
Denver	KBKF	39.7017	-104.7517
Mexico City	MMMX	19.4363	-99.0721
Seattle	KSEA	47.4502	-122.3088
Wellington	NZWN	-41.3268	174.8069
Austin	KAUS	30.1945	-97.6699
Shenzhen	ZGSZ	22.6395	113.8033
Chicago	KORD	41.9769	-87.9081
Helsinki	EFHK	60.3184	24.9633
Jeddah	OEJN	21.6802	39.1574
Houston	KHOU	29.6458	-95.2772
Karachi	OPKC	24.9065	67.1608
Panama City	MPMG	8.9733	-79.5556
